[10450] 590002000, W, 0x1, 8    bytes, 56 65 72 73 69 6F 6E 31
[10456] 590002955, W, 0x52, 56   bytes, 00 00 00 00 82 37 aa 4e 09 d8 00 00 94 19 2a 23 00 00 00 00 00 00 00 00 00 00 00 00 a0 86 01 00 d7 28 00 00 56 2e 00 00 68 28 90 54 00 00 00 00 00 00 00 00 00 00 00 00
[10456] 590003709, W, 0x9a, 20   bytes, 00 00 00 00 ed 7e 00 e1 0d d8 00 00 00 00 00 80 00 00 00 00
[10456] 590004298, W, 0x49, 12   bytes, 00 00 00 00 f1 dc 62 1a 01 d8 00 00
[10456] 590004806, W, 0x74, 24   bytes, 00 00 00 00 31 2b 2d 5d 02 d8 11 11 11 11 09 00 00 20 00 10 00 00 00 00
[10456] 590005156, W, 0x71, 28   bytes, 00 00 00 00 ae f1 ab 52 06 d8 01 00 00 00 00 00 40 04 00 00 1c df 44 21 00 00 00 00
[10456] 590005503, W, 0x76, 180  bytes, 00 07 d8 00 47 44 95 4f 00 00 77 99 00 00 f0 0f ff ff 7e 00 52 7e 63 81 66 99 00 7f 00 00 00 00 00 80 01 00 21 73 3e 00 52 7e 63 81 66 99 00 7f 00 00 01 00 00 00 00 00 e1 71 3e 00 52 7e 63 81 66 99 00 7f 00 00 01 00 00 00 00 00 91 71 3e 00 52 7e 63 81 66 99 00 7f 00 00 01 00 00 00 00 00 92 71 3e 00 52 7e 63 81 66 99 00 7f 00 00 01 00 00 00 00 00 1a 71 3e 00 52 7e 63 81 66 99 00 7f 00 00 00 00 00 80 01 00 5b 72 3e 00 52 7e 63 81 66 99 00 7f 00 00 01 00 00 00 00 00 bb 71 3e 00 52 7e 63 81 66 99 00 7f 00 00 00 00 00 00 00 00 01 80 3e 00
[10456] 590005867, W, 0x77, 104  bytes, 00 06 d8 7e 00 00 00 00 87 46 65 f0 66 99 7e 00 c0 00 00 00 87 46 65 f0 66 99 7e 00 c0 00 00 00 87 46 65 f0 66 99 7e 00 40 00 00 00 87 46 65 f0 66 99 7e 00 40 00 00 00 87 46 65 f0 66 99 7e 00 40 00 00 00 87 46 65 f0 66 99 7e 00 40 00 00 00 87 46 65 f0 66 99 7e 00 40 00 00 00 87 46 65 f0 66 99 7e 00 40 00 00 00
[10456] 590005902, W, 0x78, 164  bytes, 00 01 d8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[10456] 590006240, W, 0x8e, 8    bytes, 00 07 d8 00 00 00 00 00
[10456] 590006554, W, 0x8c, 4    bytes, 00 07 d8 00
[10456] 590006867, W, 0x8a, 12   bytes, 00 00 00 00 95 3c df 75 0b d8 00 00
[10456] 590007400, W, 0x8d, 68   bytes, 00 08 d8 00 21 04 71 02 00 00 00 00 00 00 00 00 00 00 00 00 17 b7 d1 b9 04 2a 7d b9 cb 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[10456] 590007737, W, 0xf6, 4    bytes, 00 02 d8 00
[10456] 590008058, W, 0x87, 64   bytes, 00 04 d8 1a 5d c0 34 0c 00 00 20 00 5d 00 00 00 a9 12 95 0c 00 00 20 00 29 00 00 00 b1 98 0a 13 3c db 21 00 27 00 00 00 5a c0 32 1c b0 5d 25 00 5a 00 00 00 ad 11 93 1c 94 5e 2c 00 2d 00 00 00
[10456] 590008386, W, 0x56, 8    bytes, 00 0a d8 00 00 00 00 00
[10456] 590008702, W, 0x5a, 4    bytes, 00 04 d8 00
[10456] 590009013, W, 0xde, 4    bytes, 00 01 d8 00
[10456] 590009346, W, 0x67, 4    bytes, 00 07 d8 20
[10456] 590009730, W, 0x66, 4    bytes, 00 06 d8 00
[10456] 590010045, W, 0x69, 4    bytes, 00 0c d8 00
[10456] 590010357, W, 0x68, 4    bytes, 00 0c d8 00
[10456] 590010669, W, 0x57, 4    bytes, 00 0a d8 00
[10456] 590011061, W, 0x58, 4    bytes, 00 06 d8 00
[10456] 590011420, W, 0x79, 12   bytes, 00 02 d8 03 00 00 00 00 00 00 00 00
[10456] 590011757, W, 0x59, 64   bytes, 00 06 d8 03 b8 0b fa 18 01 00 00 00 00 08 00 00 08 04 e7 03 aa c0 03 00 00 fc 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[10456] 590012091, W, 0x5b, 36   bytes, 00 01 d8 00 00 00 00 04 00 00 00 00 40 00 00 00 7f 7d 00 00 00 00 dc 05 f8 7f f8 7f f8 7f f8 7f 00 00 00 00
[10456] 590012883, W, 0xf5, 7048 bytes, 00 05 d8 00 a0 40 01 00 93 04 80 00 01 d8 0d 00 0e 80 0c 00 03 29 c4 09 fd 08 1d 05 74 54 92 00 00 0a 00 00 bb 01 07 00 64 00 06 52 88 53 3f 02 00 80 8e 02 a5 04 80 00 01 d8 0d 00 0e 80 0c 00 be 28 c4 09 fd 08 1d 05 74 94 94 00 00 0a 00 00 bb 01 07 00 64 00 7c 51 88 53 3f 02 00 80 8e 02 a5 04 80 00 01 d8 0d 00 0e 80 0c 00 78 28 c4 09 fd 08 1d 05 74 94 94 00 00 0a 00 00 bb 01 07 00 64 00 f0 50 88 53 3f 02 00 80 8e 02 b5 04 80 00 01 d8 0d 00 0e 80 0c 00 33 28 c4 09 fd 08 1d 05 74 94 96 00 00 0a 00 00 bb 01 07 00 64 00 66 50 88 53 3f 02 00 80 8e 02 ad 04 80 00 01 d8 0d 00 0e 80 0c 00 ed 27 c4 09 fd 08 1d 05 74 94 95 00 00 0a 00 00 bb 01 07 00 64 00 da 4f 88 53 3f 02 00 80 8e 02 bd 04 80 00 01 d8 0d 00 0e 80 0c 00 a8 27 c4 09 fd 08 1d 05 74 94 97 00 00 0a 00 00
[10456] 590013356, W, 0x42, 184  bytes, 00 12 02 00 19 c4 00 00 00 46 00 00 d8 28 00 00 89 00 09 00 49 00 09 00 00 00 00 00 00 00 00 00 00 00 97 02 9b 02 02 02 00 ff 49 05 00 00 00 00 00 32 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 e8 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 35 3a 2b 7b 01 00 00 00 31 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[10457] 590036728, W, 0x52, 56   bytes, 00 00 00 00 57 67 23 bc 09 d9 00 00 46 62 2a 23 00 00 00 00 00 00 00 00 00 00 00 00 a0 86 01 00 d8 28 00 00 57 2e 00 00 70 28 90 54 00 00 00 00 00 00 03 87 23 10 00 00
[10457] 590037370, W, 0x9a, 20   bytes, 00 00 00 00 2d a1 8e 20 0d d9 00 00 00 00 00 80 00 00 00 00
[10457] 590037720, W, 0x49, 12   bytes, 00 00 00 00 c6 b6 a0 1b 01 d9 00 00
[10457] 590038065, W, 0x74, 24   bytes, 00 00 00 00 d9 f0 d6 e4 02 d9 11 11 11 11 09 00 00 20 00 10 00 00 00 00
[10457] 590038394, W, 0x71, 28   bytes, 00 00 00 00 6e 2e 25 93 06 d9 01 00 00 00 00 00 40 04 00 00 1c df 44 21 00 00 00 00
[10457] 590038746, W, 0x76, 180  bytes, 00 07 d9 00 47 44 95 4f 00 00 77 99 00 00 f0 0f ff ff 7e 00 52 7e 63 81 66 99 00 7f 00 00 00 00 00 80 01 00 21 73 3e 00 52 7e 63 81 66 99 00 7f 00 00 01 00 00 00 00 00 e1 71 3e 00 52 7e 63 81 66 99 00 7f 00 00 01 00 00 00 00 00 91 71 3e 00 52 7e 63 81 66 99 00 7f 00 00 01 00 00 00 00 00 92 71 3e 00 52 7e 63 81 66 99 00 7f 00 00 01 00 00 00 00 00 1a 71 3e 00 52 7e 63 81 66 99 00 7f 00 00 00 00 00 80 01 00 5b 72 3e 00 52 7e 63 81 66 99 00 7f 00 00 01 00 00 00 00 00 bb 71 3e 00 52 7e 63 81 66 99 00 7f 00 00 00 00 00 00 00 00 01 80 3e 00
[10457] 590039307, W, 0x77, 104  bytes, 00 06 d9 7e 00 00 00 00 87 46 65 f0 66 99 7e 00 c0 00 00 00 87 46 65 f0 66 99 7e 00 c0 00 00 00 87 46 65 f0 66 99 7e 00 40 00 00 00 87 46 65 f0 66 99 7e 00 40 00 00 00 87 46 65 f0 66 99 7e 00 40 00 00 00 87 46 65 f0 66 99 7e 00 40 00 00 00 87 46 65 f0 66 99 7e 00 40 00 00 00 87 46 65 f0 66 99 7e 00 40 00 00 00
[10457] 590039344, W, 0x78, 164  bytes, 00 01 d9 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[10457] 590039710, W, 0x7c, 12   bytes, 00 08 d9 41 00 00 00 00 00 00 00 00
[10457] 590039734, W, 0x8e, 8    bytes, 00 07 d9 00 00 00 00 00
[10457] 590040056, W, 0x8c, 4    bytes, 00 07 d9 00
[10457] 590040394, W, 0x8a, 12   bytes, 00 00 00 00 a2 56 1d 74 0b d9 00 00
[10457] 590040741, W, 0x8d, 68   bytes, 00 08 d9 00 21 04 71 02 00 00 00 00 00 00 00 00 00 00 00 00 17 b7 d1 b9 04 2a 7d b9 cb 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[10457] 590041137, W, 0xf6, 4    bytes, 00 02 d9 00
[10457] 590041468, W, 0x87, 64   bytes, 00 04 d9 1a 5d c0 34 0c 00 00 20 00 5d 00 00 00 a9 12 95 0c 00 00 20 00 29 00 00 00 b1 98 0a 13 3c db 21 00 27 00 00 00 5a c0 32 1c b0 5d 25 00 5a 00 00 00 ad 11 93 1c 94 5e 2c 00 2d 00 00 00
[10457] 590041808, W, 0x56, 8    bytes, 00 0a d9 00 00 00 00 00
[10457] 590042130, W, 0x5a, 4    bytes, 00 04 d9 00
[10457] 590042445, W, 0xde, 4    bytes, 00 01 d9 00
[10457] 590042778, W, 0x8f, 44   bytes, 00 07 d9 00 be ff 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 32 00 00 96 00 00 00 99 59 66 06 96 00 00 00 99 59 66 06
[10457] 590042804, W, 0x67, 4    bytes, 00 07 d9 20
[10457] 590043238, W, 0x66, 4    bytes, 00 06 d9 00
[10457] 590043574, W, 0x69, 4    bytes, 00 0c d9 00
[10457] 590043882, W, 0x68, 4    bytes, 00 0c d9 00
[10457] 590044195, W, 0x57, 4    bytes, 00 0a d9 00
[10457] 590044510, W, 0x58, 4    bytes, 00 06 d9 00
[10457] 590044821, W, 0x79, 12   bytes, 00 02 d9 03 00 00 00 00 00 00 00 00
[10457] 590045137, W, 0x7d, 12   bytes, 00 0b d9 41 00 00 00 00 00 00 00 00
[10457] 590045161, W, 0x7e, 4    bytes, 00 85 ec 00
[10457] 590045184, W, 0x7f, 4    bytes, 00 85 ec 00
[10457] 590045225, W, 0x59, 64   bytes, 00 06 d9 03 b8 0b fa 18 01 00 00 00 00 08 00 00 08 04 e7 03 aa c0 03 00 00 fc 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[10457] 590045589, W, 0x5b, 36   bytes, 00 01 d9 00 00 00 00 04 00 00 00 00 40 00 00 00 7f 7d 00 00 00 00 dc 05 f8 7f f8 7f f8 7f f8 7f 00 00 00 00
[10457] 590046433, W, 0xf5, 7048 bytes, 00 05 d9 00 a0 40 01 00 93 04 80 00 01 d8 0d 00 0e 80 0c 00 03 29 c4 09 fd 08 1d 05 74 54 92 00 00 0a 00 00 bb 01 07 00 64 00 06 52 88 53 3f 02 00 80 8e 02 a5 04 80 00 01 d8 0d 00 0e 80 0c 00 be 28 c4 09 fd 08 1d 05 74 94 94 00 00 0a 00 00 bb 01 07 00 64 00 7c 51 88 53 3f 02 00 80 8e 02 a5 04 80 00 01 d8 0d 00 0e 80 0c 00 78 28 c4 09 fd 08 1d 05 74 94 94 00 00 0a 00 00 bb 01 07 00 64 00 f0 50 88 53 3f 02 00 80 8e 02 b5 04 80 00 01 d8 0d 00 0e 80 0c 00 33 28 c4 09 fd 08 1d 05 74 94 96 00 00 0a 00 00 bb 01 07 00 64 00 66 50 88 53 3f 02 00 80 8e 02 ad 04 80 00 01 d8 0d 00 0e 80 0c 00 ed 27 c4 09 fd 08 1d 05 74 94 95 00 00 0a 00 00 bb 01 07 00 64 00 da 4f 88 53 3f 02 00 80 8e 02 bd 04 80 00 01 d8 0d 00 0e 80 0c 00 a8 27 c4 09 fd 08 1d 05 74 94 97 00 00 0a 00 00
[10457] 590046901, W, 0x42, 184  bytes, 00 12 02 00 19 c4 00 00 00 46 00 00 d9 28 00 00 9c 00 09 00 63 00 09 00 00 00 00 00 00 00 00 00 00 00 97 02 9b 02 02 02 00 ff 49 05 00 00 00 00 80 2c 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 e8 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 08 46 36 83 01 00 00 00 31 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[10458] 590057066, W, 0x52, 56   bytes, 00 00 00 00 2f b2 e6 1c 09 da 00 00 86 f2 2a 23 00 00 00 00 00 00 00 00 00 00 00 00 a0 86 01 00 d9 28 00 00 58 2e 00 00 78 28 90 54 00 00 00 00 00 00 00 00 00 00 00 00
[10458] 590057858, W, 0x9a, 20   bytes, 00 00 00 00 2c c7 6c b9 0d da 00 00 00 00 00 80 00 00 00 00
[10458] 590058504, W, 0x49, 12   bytes, 00 00 00 00 9f 08 e6 19 01 da 00 00
[10458] 590058973, W, 0x74, 24   bytes, 00 00 00 00 a0 9a ab f5 02 da 11 11 11 11 09 00 00 20 00 10 00 00 00 00
[10458] 590059464, W, 0x71, 28   bytes, 00 00 00 00 6f 48 c7 0a 06 da 01 00 00 00 00 00 40 04 00 00 1c df 44 21 00 00 00 00
[10458] 590059817, W, 0x76, 180  bytes, 00 07 da 00 47 44 95 4f 00 00 77 99 00 00 f0 0f ff ff 7e 00 52 7e 63 81 66 99 00 7f 00 00 00 00 00 80 01 00 21 73 3e 00 52 7e 63 81 66 99 00 7f 00 00 01 00 00 00 00 00 e1 71 3e 00 52 7e 63 81 66 99 00 7f 00 00 01 00 00 00 00 00 91 71 3e 00 52 7e 63 81 66 99 00 7f 00 00 01 00 00 00 00 00 92 71 3e 00 52 7e 63 81 66 99 00 7f 00 00 01 00 00 00 00 00 1a 71 3e 00 52 7e 63 81 66 99 00 7f 00 00 00 00 00 80 01 00 5b 72 3e 00 52 7e 63 81 66 99 00 7f 00 00 01 00 00 00 00 00 bb 71 3e 00 52 7e 63 81 66 99 00 7f 00 00 00 00 00 00 00 00 01 80 3e 00
[10458] 590060192, W, 0x77, 104  bytes, 00 06 da 7e 00 00 00 00 87 46 65 f0 66 99 7e 00 c0 00 00 00 87 46 65 f0 66 99 7e 00 c0 00 00 00 87 46 65 f0 66 99 7e 00 40 00 00 00 87 46 65 f0 66 99 7e 00 40 00 00 00 87 46 65 f0 66 99 7e 00 40 00 00 00 87 46 65 f0 66 99 7e 00 40 00 00 00 87 46 65 f0 66 99 7e 00 40 00 00 00 87 46 65 f0 66 99 7e 00 40 00 00 00
[10458] 590060225, W, 0x78, 164  bytes, 00 01 da 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[10458] 590060574, W, 0x8e, 8    bytes, 00 07 da 00 00 00 00 00
[10458] 590060885, W, 0x8c, 4    bytes, 00 07 da 00
[10458] 590061222, W, 0x8a, 12   bytes, 00 00 00 00 fb e8 5b 76 0b da 00 00
[10458] 590061576, W, 0x8d, 68   bytes, 00 08 da 00 21 04 71 02 00 00 00 00 00 00 00 00 00 00 00 00 17 b7 d1 b9 04 2a 7d b9 cb 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[10458] 590061974, W, 0xf6, 4    bytes, 00 02 da 00
[10458] 590062297, W, 0x87, 64   bytes, 00 04 da 1a 5d c0 34 0c 00 00 20 00 5d 00 00 00 a9 12 95 0c 00 00 20 00 29 00 00 00 b1 98 0a 13 3c db 21 00 27 00 00 00 5a c0 32 1c b0 5d 25 00 5a 00 00 00 ad 11 93 1c 94 5e 2c 00 2d 00 00 00
[10458] 590062651, W, 0x56, 8    bytes, 00 0a da 00 00 00 00 00
[10458] 590063056, W, 0x5a, 4    bytes, 00 04 da 00
[10458] 590063395, W, 0xde, 4    bytes, 00 01 da 00
[10458] 590063732, W, 0x67, 4    bytes, 00 07 da 20
[10458] 590064057, W, 0x66, 4    bytes, 00 06 da 00
[10458] 590064374, W, 0x69, 4    bytes, 00 0c da 00
[10458] 590064682, W, 0x68, 4    bytes, 00 0c da 00
[10458] 590064997, W, 0x57, 4    bytes, 00 0a da 00
[10458] 590065318, W, 0x58, 4    bytes, 00 06 da 00
[10458] 590065639, W, 0x79, 12   bytes, 00 02 da 03 00 00 00 00 00 00 00 00
[10458] 590065974, W, 0x59, 64   bytes, 00 06 da 03 b8 0b fa 18 01 00 00 00 00 08 00 00 08 04 e7 03 aa c0 03 00 00 fc 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[10458] 590066336, W, 0x5b, 36   bytes, 00 01 da 00 00 00 00 04 00 00 00 00 40 00 00 00 7f 7d 00 00 00 00 dc 05 f8 7f f8 7f f8 7f f8 7f 00 00 00 00
[10458] 590067389, W, 0xf5, 7048 bytes, 00 05 da 00 a0 40 01 00 93 04 80 00 01 d8 0d 00 0e 80 0c 00 03 29 c4 09 fd 08 1d 05 74 54 92 00 00 0a 00 00 bb 01 07 00 64 00 06 52 88 53 3f 02 00 80 8e 02 a5 04 80 00 01 d8 0d 00 0e 80 0c 00 be 28 c4 09 fd 08 1d 05 74 94 94 00 00 0a 00 00 bb 01 07 00 64 00 7c 51 88 53 3f 02 00 80 8e 02 a5 04 80 00 01 d8 0d 00 0e 80 0c 00 78 28 c4 09 fd 08 1d 05 74 94 94 00 00 0a 00 00 bb 01 07 00 64 00 f0 50 88 53 3f 02 00 80 8e 02 b5 04 80 00 01 d8 0d 00 0e 80 0c 00 33 28 c4 09 fd 08 1d 05 74 94 96 00 00 0a 00 00 bb 01 07 00 64 00 66 50 88 53 3f 02 00 80 8e 02 ad 04 80 00 01 d8 0d 00 0e 80 0c 00 ed 27 c4 09 fd 08 1d 05 74 94 95 00 00 0a 00 00 bb 01 07 00 64 00 da 4f 88 53 3f 02 00 80 8e 02 bd 04 80 00 01 d8 0d 00 0e 80 0c 00 a8 27 c4 09 fd 08 1d 05 74 94 97 00 00 0a 00 00
[10458] 590067995, W, 0x42, 184  bytes, 00 12 02 00 19 c4 00 00 00 46 00 00 da 28 00 00 c1 00 09 00 7f 00 09 00 00 00 00 00 00 00 00 00 00 00 99 02 9d 02 02 02 00 ff 49 05 00 00 00 00 00 0f 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 e8 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 d2 da 1f 84 01 00 00 00 31 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[10459] 590097085, W, 0x52, 56   bytes, 00 00 00 00 d8 86 62 15 09 db 00 00 39 3b 2b 23 00 00 00 00 00 00 00 00 00 00 00 00 a0 86 01 00 da 28 00 00 59 2e 00 00 60 28 90 55 00 00 00 00 00 00 03 87 23 10 00 00
[10459] 590098063, W, 0x9a, 20   bytes, 00 00 00 00 ec 18 e2 78 0d db 00 00 00 00 00 80 00 00 00 00
[10459] 590099524, W, 0x49, 12   bytes, 00 00 00 00 a8 62 24 18 01 db 00 00
[10459] 590100701, W, 0x74, 24   bytes, 00 00 00 00 d3 42 2a 63 02 db 06 06 06 06 05 00 00 20 00 10 00 00 00 00
[10459] 590101436, W, 0x71, 28   bytes, 00 00 00 00 af 97 49 cb 06 db 01 00 00 00 00 00 40 04 00 00 1c df 44 21 00 00 00 00
[10459] 590102290, W, 0x76, 180  bytes, 00 07 db 00 47 44 95 4f 00 00 77 99 00 00 f0 0f ff ff 7e 00 52 7e 63 81 66 99 00 7f 00 00 00 00 00 80 01 00 21 73 3e 00 52 7e 63 81 66 99 00 7f 00 00 01 00 00 00 00 00 e1 71 3e 00 52 7e 63 81 66 99 00 7f 00 00 01 00 00 00 00 00 91 71 3e 00 52 7e 63 81 66 99 00 7f 00 00 01 00 00 00 00 00 92 71 3e 00 52 7e 63 81 66 99 00 7f 00 00 01 00 00 00 00 00 1a 71 3e 00 52 7e 63 81 66 99 00 7f 00 00 00 00 00 80 01 00 5b 72 3e 00 52 7e 63 81 66 99 00 7f 00 00 01 00 00 00 00 00 bb 71 3e 00 52 7e 63 81 66 99 00 7f 00 00 00 00 00 00 00 00 01 80 3e 00
[10459] 590103238, W, 0x77, 104  bytes, 00 06 db 7e 00 00 00 00 87 46 65 f0 66 99 7e 00 c0 00 00 00 87 46 65 f0 66 99 7e 00 c0 00 00 00 87 46 65 f0 66 99 7e 00 40 00 00 00 87 46 65 f0 66 99 7e 00 40 00 00 00 87 46 65 f0 66 99 7e 00 40 00 00 00 87 46 65 f0 66 99 7e 00 40 00 00 00 87 46 65 f0 66 99 7e 00 40 00 00 00 87 46 65 f0 66 99 7e 00 40 00 00 00
[10459] 590103312, W, 0x78, 164  bytes, 00 01 db 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[10459] 590103888, W, 0x7c, 12   bytes, 00 08 db 41 00 00 00 00 00 00 00 00
[10459] 590103919, W, 0x8e, 8    bytes, 00 07 db 00 00 00 00 00
[10459] 590104388, W, 0x8c, 4    bytes, 00 07 db 00
[10459] 590104857, W, 0x8a, 12   bytes, 00 00 00 00 cc 82 99 77 0b db 00 00
[10459] 590105321, W, 0x8d, 68   bytes, 00 08 db 00 21 04 71 02 00 00 00 00 00 00 00 00 00 00 00 00 17 b7 d1 b9 04 2a 7d b9 cb 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[10459] 590105796, W, 0xf6, 4    bytes, 00 02 db 00
[10459] 590106199, W, 0x87, 64   bytes, 00 04 db 1a 5d c0 34 0c 00 00 20 00 5d 00 00 00 29 13 95 0c 00 00 20 00 29 00 00 00 30 98 2a 13 3c db 21 00 28 00 00 00 5a c0 32 1c 30 9e 25 00 5a 00 00 00 ac 11 93 1c 14 de 2c 00 2c 00 00 00
[10459] 590106747, W, 0x56, 8    bytes, 00 0a db 00 00 00 00 00
[10459] 590107577, W, 0x5a, 4    bytes, 00 04 db 00
[10459] 590108219, W, 0xde, 4    bytes, 00 01 db 00
